243,-19460,-2176,-6176,-59,-171,-43
244,-19668,-2240,-5700,68,-146,162
245,-19576,-1972,-6128,-34,-459,201
246,-19120,-2000,-5464,276,6,13
247,-19692,-2364,-6352,101,284,-2
248,-19656,-2228,-5644,-3,-29,234
249,-20120,-2092,-5904,-86,-539,278
250,-19580,-2292,-5860,-369,-583,545
251,-19912,-2192,-5400,4,254,632
252,-20540,-2200,-6528,-266,76,604
253,-20016,-2112,-5908,-683,112,1349
254,-18984,-1620,-5724,-738,-826,1074
255,-19656,-1604,-5672,-239,-311,364
256,-19388,-1592,-5740,-319,-165,192
257,-19548,-1504,-6080,73,-7,-55
258,-19532,-1692,-5964,91,24,-174
259,-19952,-1680,-6132,48,1,-147
260,-19612,-1852,-6448,-134,-631,60
261,-19996,-1944,-6028,-265,-790,90
262,-19612,-1848,-5380,-450,-420,420
263,-19728,-1648,-5964,-371,-363,350
264,-19500,-1364,-5724,-176,111,181
265,-19808,-1584,-5868,5,17,162
266,-19452,-1564,-5812,245,235,61
267,-19628,-1532,-5968,-29,-518,29
268,-19856,-1764,-5808,220,-318,29
269,-19668,-1712,-6012,-132,-343,108
270,-19316,-1800,-5404,3,47,60
271,-19480,-1584,-5656,-35,-11,-15
272,-19744,-1672,-6124,-50,-55,27
273,-19756,-1636,-5496,-237,386,-30
274,-19844,-1616,-6176,-33,44,84
275,-19736,-1528,-5744,-247,-218,65
276,-19852,-1488,-5784,-233,-352,277
277,-19272,-1564,-5840,23,-16,-63
278,-20044,-1596,-5852,-47,-118,66
279,-19524,-1588,-5908,-37,-91,95
280,-20128,-1688,-6512,-114,-167,208
281,-19780,-1512,-5928,-349,-278,560
282,-19328,-1460,-5928,-116,4,334
283,-19588,-1236,-6072,-121,-386,-21
284,-19868,-1444,-5804,-64,-516,-88
285,-20624,-1584,-6344,-155,-635,244
286,-19072,-1456,-5928,-117,5,-78
287,-20232,-1400,-6156,-203,-416,50
288,-19668,-1332,-5968,-233,-145,240
289,-19424,-1396,-5728,15,-296,-84
290,-20008,-1404,-5916,16,-74,46
291,-19680,-1456,-5868,-82,-314,57
292,-19692,-1520,-5692,-5,-224,-88
293,-19708,-1348,-5920,-71,-132,41
294,-19620,-1408,-5960,-47,-238,-136
295,-19836,-1468,-5880,-140,-267,90
296,-19732,-1372,-5860,-130,-414,107
297,-19840,-1444,-5800,-42,-128,141
298,-19836,-1448,-5696,-26,-156,87
299,-19748,-1396,-5920,-53,-358,204
300,-19728,-1308,-5952,-128,-344,134
301,-19648,-1352,-5696,-97,-431,81
302,-19868,-1384,-5712,-69,-387,154
303,-19664,-1412,-5852,-12,-178,43
304,-19772,-1336,-5784,-19,-555,25
305,-19736,-1404,-5720,-52,-254,33
306,-19516,-1280,-5980,-55,-306,56
307,-19724,-1316,-5952,-45,-471,-78
308,-19852,-1364,-5644,-3,-26,55
309,-19464,-1304,-6024,31,74,-12
310,-19828,-1320,-5916,-13,-282,-80
311,-19784,-1456,-5676,-48,-204,93
312,-19524,-1184,-5796,-5,-285,-79
313,-19868,-1456,-5908,68,-23,-192
314,-19732,-1436,-5804,-126,-171,43
315,-19604,-1340,-5772,-70,-489,1
316,-19820,-1384,-5748,-52,-271,7
317,-19760,-1400,-5536,38,-177,64
318,-18964,-1404,-5272,-10,572,-4
319,-19932,-1460,-5952,-35,-300,-1
320,-19588,-1308,-5676,-88,-419,-156
321,-19984,-1456,-5792,-56,-412,-45
322,-19708,-1328,-5792,1,-257,101
323,-19888,-1332,-5840,3,-316,74
324,-19588,-1392,-5948,-40,-265,-34
325,-19692,-1432,-5708,7,-130,-102
326,-19608,-1364,-5836,-10,-153,-41
327,-19704,-1348,-5764,-59,-310,61
328,-19700,-1300,-5792,-70,-422,-51
329,-19780,-1500,-5604,21,-35,-67
330,-19504,-1320,-5820,51,-176,-12
331,-19920,-1432,-5656,135,-100,-156
332,-19676,-1432,-5836,-65,-104,70
333,-19516,-1408,-5876,-8,-204,-77
334,-20088,-1404,-5808,-31,-277,-29
335,-19740,-1492,-5736,-117,-309,106
336,-19680,-1372,-5732,39,-16,-87
337,-19936,-1472,-5784,48,-32,-8
338,-19564,-1504,-5852,-9,-127,64
339,-19788,-1380,-5676,31,-159,55
340,-19700,-1316,-5804,-76,-218,206
341,-19540,-1240,-5636,75,-184,-61
342,-19936,-1372,-5800,138,-13,-66
343,-19548,-1444,-5912,-19,-47,-125
344,-19788,-1516,-5772,-3,-71,-52
345,-19688,-1400,-5844,-132,-261,19
346,-19684,-1424,-5644,-14,-215,-125
347,-19712,-1384,-5912,95,94,-75
348,-19788,-1396,-5836,-14,-171,-34
349,-19780,-1396,-5768,33,-108,41
350,-19760,-1372,-5832,30,-21,-11
351,-19656,-1412,-5728,0,-1,-74
352,-19680,-1412,-5864,26,41,-4
353,-19628,-1412,-5792,96,-193,-74
354,-19864,-1516,-5880,8,-310,-8
355,-19676,-1508,-5992,30,-302,111
